RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Dallas,"RACE_CANDIDATES    Mayor – City of Dallas - Eric Johnson
RACE_CANDIDATES              Mayor – City of Dallas - 28
dtype: object",Eric Johnson,28,Colin
Mayor – City of Dallas,"RACE_CANDIDATES    Mayor – City of Dallas.1 - Write-in
RACE_CANDIDATES           Mayor – City of Dallas.1 - 1
dtype: object",Write-in,1,Colin
Mayor – City of Dallas,"RACE_CANDIDATES    Mayor – City of Dallas.2 - OVER VOTES
RACE_CANDIDATES            Mayor – City of Dallas.2 - 14
dtype: object",OVER VOTES,14,Colin
Mayor – City of Dallas,"RACE_CANDIDATES    Mayor – City of Dallas.3 - UNDER VOTES
RACE_CANDIDATES             Mayor – City of Dallas.3 - 66
dtype: object",UNDER VOTES,66,Colin
"Member of Council, District 12 – City of Dallas","RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
dtype: object",Cara Mendelsohn,26,Colin
"Member of Council, District 12 – City of Dallas","RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
dtype: object",OVER VOTES,0,Colin
"Member of Council, District 12 – City of Dallas","RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
RACE_CANDIDATES    Member of Council, District 12 – City of Dalla...
dtype: object",UNDER VOTES,79,Colin
"Councilmember, Place 1 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville ...
RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville - 4
dtype: object",Mary Berry,4,Colin
"Councilmember, Place 1 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
dtype: object",Coleman Strickland,2,Colin
"Councilmember, Place 1 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
dtype: object",Richard Repp,2,Colin
"Councilmember, Place 1 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
dtype: object",OVER VOTES,1,Colin
"Councilmember, Place 1 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 1 – City of Farmersville....
dtype: object",UNDER VOTES,1,Colin
"Councilmember, Place 3 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville ...
RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville - 2
dtype: object",Ted Wagner,2,Colin
"Councilmember, Place 3 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville....
dtype: object",OVER VOTES,0,Colin
"Councilmember, Place 3 – City of Farmersville","RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville....
RACE_CANDIDATES    Councilmember, Place 3 – City of Farmersville....
dtype: object",UNDER VOTES,8,Colin
Proposition No 1 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 1 – City of Farmersville - For
RACE_CANDIDATES     Proposition No. 1 – City of Farmersville - 21
dtype: object",For,21,Colin
Proposition No 1 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 1 – City of Farmersville.1 - A...
RACE_CANDIDATES      Proposition No. 1 – City of Farmersville.1 - 19
dtype: object",Against,19,Colin
Proposition No 1 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 1 – City of Farmersville.2 - O...
RACE_CANDIDATES      Proposition No. 1 – City of Farmersville.2 - 10
dtype: object",OVER VOTES,10,Colin
Proposition No 1 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 1 – City of Farmersville.3 - U...
RACE_CANDIDATES      Proposition No. 1 – City of Farmersville.3 - 26
dtype: object",UNDER VOTES,26,Colin
Proposition No 2 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 2 – City of Farmersville - For
RACE_CANDIDATES      Proposition No. 2 – City of Farmersville - 4
dtype: object",For,4,Colin
Proposition No 2 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 2 – City of Farmersville.1 - A...
RACE_CANDIDATES       Proposition No. 2 – City of Farmersville.1 - 2
dtype: object",Against,2,Colin
Proposition No 2 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 2 – City of Farmersville.2 - O...
RACE_CANDIDATES       Proposition No. 2 – City of Farmersville.2 - 1
dtype: object",OVER VOTES,1,Colin
Proposition No 2 – City of Farmersville,"RACE_CANDIDATES    Proposition No. 2 – City of Farmersville.3 - U...
RACE_CANDIDATES       Proposition No. 2 – City of Farmersville.3 - 3
dtype: object",UNDER VOTES,3,Colin
Mayor – City of Frisco,"RACE_CANDIDATES    Mayor – City of Frisco - Jonathan David Spencer
RACE_CANDIDATES                        Mayor – City of Frisco - 54
dtype: object",Jonathan David Spencer,54,Colin
