COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Dave Cornette,Ken Cook,OVER VOTES,UNDER VOTES,Dave Shafer,Carl Clemencich,OVER VOTES,UNDER VOTES,Kelly Herndon,Bruce Norwood,OVER VOTES,UNDER VOTES,
Colin,0032,PCT 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,ZZZ,COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
